"version" "tiempo" "transaccion" "porcentaje"
"1" "B" 74.8809877181536 0 16.8463644851493
"2" "B" 62.2296501218526 0 7.72847593462924
"3" "B" 38.6086578117074 0 11.3862849759654
"4" "B" 17.5230262774952 0 2.62961022793183
"5" "B" 51.3627929799729 0 17.7064532428806
"6" "B" 33.8509291812853 0 9.90836537656361
"7" "B" 64.878599448035 0 18.4662538586388
"8" "B" 117.059330637822 0 36.9516068207169
"9" "B" 58.3504119946338 0 11.016991018727
"10" "B" 52.8089490642867 0 9.04428937790765
"11" "B" 307.209557895765 0 78.581146357599
"12" "B" 64.7850195591773 0 15.915048861653
"13" "B" 26.4518926649939 0 4.71517132102235
"14" "B" 42.0698138367115 0 12.0065086587978
"15" "B" 96.52330211779 0 16.1482392871625
"16" "B" 34.7204670823326 0 11.8806591281666
"17" "B" 72.2187753976528 0 15.1917258079174
"18" "B" 148.95233961482 1 37.6552819627668
"19" "B" 74.515849747142 0 13.0487381918922
"20" "B" 67.139806013923 0 12.1099397435793
"21" "B" 45.9753636849969 0 11.8405472673889
"22" "B" 62.1124422528659 0 9.50320850618224
"23" "B" 86.2874946416032 0 15.3400265603892
"24" "B" 35.8362398130751 0 6.23532190304046
"25" "B" 47.3362688537939 0 6.42616381861518
"26" "B" 12.1313094392878 1 2.28695342429177
"27" "B" 106.882922432977 0 23.1445509633605
"28" "B" 79.1007961796342 0 19.5495854877638
"29" "B" 102.305519868824 0 31.5477182806833
"30" "B" 55.4232130528983 0 13.3359801748234

# Este archivo se usa para el tp4b.r
